series_id,station_id,station,river,variable,var_id,unit,network,province,procedure,lat,lon,live,percentiles
67,67,Garruchos,URUGUAY,Altura hidrométrica,2,,alturas_prefe,,,-28.1833333333333,-55.65,True,
26309,67,Garruchos,URUGUAY,Altura hidrométrica media diaria,39,,alturas_prefe,,,-28.1833333333333,-55.65,True,
26664,67,Garruchos,URUGUAY,Caudal medio diario,40,,alturas_prefe,,,-28.1833333333333,-55.65,True,
68,68,Santo Tomé,URUGUAY,Altura hidrométrica,2,,alturas_prefe,,,-28.55,-56.0333333333333,True,
7823,68,Santo Tomé,URUGUAY,Caudal,4,,alturas_prefe,,,-28.55,-56.0333333333333,True,
25546,68,Santo Tomé,URUGUAY,Altura hidrométrica media mensual,33,,alturas_prefe,,,-28.55,-56.0333333333333,True,
25547,69,Alvear,URUGUAY,Altura hidrométrica media mensual,33,,alturas_prefe,,,-29.1,-56.55,True,
70,70,La Cruz,URUGUAY,Altura hidrométrica,2,,alturas_prefe,,,-29.18062,-56.633977,True,
919,70,La Cruz,URUGUAY,Caudal,4,,alturas_prefe,,,-29.18062,-56.633977,True,
26667,70,La Cruz,URUGUAY,Caudal medio diario,40,,alturas_prefe,,,-29.18062,-56.633977,True,
71,71,Yapeyú,URUGUAY,Altura hidrométrica,2,,alturas_prefe,,,-29.470031,-56.810674,True,
3271,72,Paso de los Libres,URUGUAY,Altura hidrométrica,2,,alturas_prefe,,,-29.7166666666667,-57.0833333333333,True,
921,72,Paso de los Libres,URUGUAY,Caudal,4,,alturas_prefe,,,-29.7166666666667,-57.0833333333333,True,
